Part Name,function,price,link
24V 2 stage vacuum motor,air blower,75.64,https://shop.usaclean.com/24v-2-stage-vacuum-motor-tangential-991-1203/?itemId=536834
Ceramic Heating element,heat air,16.9,https://www.amazon.com/Professional-Replacement-Resistance-Elements-Diameter/dp/B07N2M5PD7/ref=sr_1_2?crid=3BKXSTRSAEZWD&dib=eyJ2IjoiMSJ9.paWu-yfCLyFUS8us9qxQtuzQM_XhIOd36Yp7721h1KOfj1ktFAyrJlqCewiuYClEv75xK3YPiavinETZuEMDlDS9yOOr5pRuYyMjQtyIqKrYpe05Uz7UjNs3PuRgJi6W9jd2pUlHvTN0iulCBcI0R0002pSl1CAMmi66x3_xNINEw4tc6S0J3htdBDn4uQHiYkgnAoDD_WceyYBNYLnLf6TZFmGmuAR0rZox2ZgrJFywsvdG34iW0hNjBNp_iL0JZ_0TEU70iRvQxitKSACXtkupBgevq5qJG3vD1y_t07o.QhaXReFzK1X5BbNySgxcGDw9DZo_IKd_gTQ0Te_AiYA&dib_tag=se&keywords=ceramic+hot+air+heating+element&qid=1729456975&sprefix=ceramic+hot+air+heating+element%2Caps%2C84&sr=8-2
Cocktail Shaker,roast chamber,7.99,https://www.amazon.com/Cocktail-Bartender-Professional-Stainless-Margarita/dp/B0BC9VWBC4?th=1
SSR 40DA,heat switch,9.99,https://www.amazon.com/Coliao-24-380V-Thermostat-Temperature-Controller/dp/B09NR5KN8P/ref=sr_1_4?dib=eyJ2IjoiMSJ9.M3LUayBFTszOpuzvyQUNxHFpw0bYIjbXaZzsrsLwAfJbRw4KUCRG3kAHeQaYntwLNXzBCR5gIuqFIoDh2KKEABHEgRqrNpwPEPZqKtFpGGItpb5N3eymlXUQG9M3n6YnXRXZW51Yy6xzmY0wM3GpRTjeqD36iY3LIvXwig-2REgsZlpr4Af5lNWF2StN_zr__8aXBLAEYwu3z-xkiZv6UPclr8rXMNZdLarTjaaXqBM.l73ONakEpw_hzy0wMGlWNNSUJ57DrKjcglI87vXgCQs&dib_tag=se&keywords=ssr+40&qid=1729457085&sr=8-4
24v Power supply,power fan,30.99,https://www.amazon.com/inShareplus-Universal-Regulated-Switching-Transformer/dp/B07YYCGCS1/ref=sr_1_1_sspa?crid=1AQBAXC3FO3S9&dib=eyJ2IjoiMSJ9.HaTb39EQbSejhmrkkxgn6XuLc9yrdzYNP0icjzyTlOFqVxlZzYa-v-AuIAcSukVVJpuIThS5wpDPeQI2GSqfBFtPftCcfWrGLPBYUcBCqkGsrD5XRe6Igdi4SFBtCd1543xjkGtAmkKpWTk53aBryN_EX64YuhCJc43Om6iJczKHW9qoSFAAfy0youiEz7V_aR9L6qIBbEEag8-cqKln5KBXCjQqrjWtbMTiPFHWRc4.9frIQHB1gsX2Lwc76WKE6Wlk2PuV_4DzvJeaIOf-f8I&dib_tag=se&keywords=24v%2BPower%2Bsupply&qid=1729457134&sprefix=24v%2Bpower%2Bsupply%2Caps%2C102&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
IBT2 speed controller,control fan speed,10.99,https://www.amazon.com/HiLetgo-BTS7960-Driver-Arduino-Current/dp/B00WSN98DC
18 gauge wire,wiring stuff,6.99,https://www.amazon.com/Automotive-Flexible-Security-Stranded-Electrical/dp/B0CKR35SX5?th=1
heat tape,assembly/patch gaps,9.99,https://www.amazon.com/MEBMIK-Temperature-Resistant-Transfer-Sublimation/dp/B0CQYJJMVG
extension cords,wiring power supply and heat,9.99,https://www.amazon.com/Heavy-Extension-Indoor-Outdoor-Listed/dp/B0B3D6Y5W2
heat gun,element housing/element,18.99,https://www.amazon.com/Dual-Temperature-Nozzles-122%E1%B5%92F-1022%E1%B5%92F-Wrapping-Stripping/dp/B07QF8QRQ5
borosilicate glass tube,roast chamber,16.5,https://www.amazon.com/SUNWO-Borosilicate-Chimney-Hurricane-Holders/dp/B07J41V7JG?th=1
Arduino Mega,microcontroller,21.99,https://www.amazon.com/ELEGOO-Compatible-Arduino-Projects-Compliant/dp/B01H4ZLZLQ/ref=sr_1_1_sspa?crid=PU9XJ0T2O7NU&dib=eyJ2IjoiMSJ9.C9li7QlUOdnawgCr8xZlUWJYYcjgPxrHNgW0xV6ZrCaLq9LvwLYkVAN-T9chC432P6kJF0AbJ3DpU5CA3Mb7yXN1J5_b7UslwUxPkWAZY18qQ0SE9NBrsntKc0R-JuNp5maB6129kd-VLyJNlqiOVqwKK-Is76yhIhAJV1S49pxjAjam-tFXgZ8OOxpjqsDX8HupeulG32tmG9y5kJE0ibRSFQ1WpjHnUQ2d8SQhzA4.8xRvFy1Ag1wRV0NvRsqcLiJnBR8ESiENGiLU_1_QczE&dib_tag=se&keywords=arduino+mega&qid=1729457667&sprefix=arduino+mega%2Caps%2C101&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
breadboard and jumper wires,wiring,9.99,https://www.amazon.com/BOJACK-Values-Solderless-Breadboard-Flexible/dp/B08Y59P6D1/ref=sr_1_2_sspa?crid=2G4JWJMWNYIS2&dib=eyJ2IjoiMSJ9.BTT8MNHPlv4K77wqKb52ByAXtg73bl6b9fTl1eFcy1Baj9ka9ZGQJXRoofoYwQRB-Jq_SlunwNKijC4LsSWd7MoerSvTB32y42zfnjsSdXB7f29oT-AO5BdHGwL4KJUXN8RxooW2W82AtS_iYqrNMNGqZuz14xoQsIzZJoqbisXuK6iGscexU7daMvlEI5sZRgOpTbz_aV5HeehB2lW5KAYDp_pjlyHLy0CcC5uRUKE.UHvSRlvzRZ96_2loer5JIvGpfvolqiAPevdpgJoKqeo&dib_tag=se&keywords=breadboard&qid=1729457708&sprefix=breadboard%2Caps%2C102&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
MAX 6675 thermocouple,BT probe,7.69,https://www.amazon.com/gp/product/B01HT871SO/ref=ewc_pr_img_1?smid=A30QSGOJR8LMXA&psc=1
dryer hose,exhaust,9.99,https://www.amazon.com/Steelsoft-Flexible-Exhaust-Aluminum-Ducting/dp/B0BXGYRN2P/ref=sr_1_10?crid=3VAOR24RDV5O1&dib=eyJ2IjoiMSJ9.YSXL4xXxG8eGXV-V3koMM8uYEB9n4KKnjjVEbSwezY0PMMx7UgNxvtZGWNggW4vbWlGD7zSa7b6_NkNS--4l3EtCGaEhz_OCAdvHJ0v3fE3wCP5HEL7xzcGpsHBKd-FAYgnM-q8j9zf-eRxbfjS_iWXv1kmY4tniMY6gs1Fqo7LUSaOPNkJ0yCdJOaEBjbARu3fdVy1eQb-mvAOcVrUTTrxiQzMwnwEiYN8PZqI36XeCIjOkxQWs_JmOyeA7_UA3hfHFZNsEVSNRkhOvDNM3tw6PA9plWTr4fxv5lQwnBdE.Uj_NDC7GSmmAYV48174lOOLG_NKk5oVZO4gwLALIQX8&dib_tag=se&keywords=dryer+vent&qid=1729458027&s=hi&sprefix=dryer+vent%2Ctools%2C94&sr=1-10
,,,
,,,
TOTAL,,264.62,
,,,
Additional Parts(optional),function,price,link
borosilicate glass tube,roast chamber outer tube,23,https://www.amazon.com/SUNWO-Borosilicate-Chimney-Hurricane-Holders/dp/B07J3XNPTX?th=1
potentiometers,heat fan controls,8.66,https://www.amazon.com/Taiss-Potentiometer-potentiometers-Assortment-Terminals/dp/B0B3126K2M/ref=sr_1_3?crid=6N66S1269U75&dib=eyJ2IjoiMSJ9.mEsGRn_1xbTHcKze-UbNK_nzISn-Drmn1X4HCLBziIZdDO0xmrYrf4eKxj02-GnnVrg53hpK7feMX72Bjm4HJIu8zdcc1kCo8tGvEDrmkHN1FyZ0ki9uaggymM72UBsfm6x2G5LNDI2hQVdrGTdnI68z6Py77doSAlafREbsgGkPTI5zoxqLvUq7AMRNsNCAxaapBfm1IcdKV0UGouJYq3BoKuv59V9zn1l3RSrgKrE.e1B5WjOhpf7tslU1K6pOo6XYfHekWS1A-pJmA2DS-UQ&dib_tag=se&keywords=potentiometer&qid=1729457631&sprefix=potentiomete%2Caps%2C97&sr=8-3&th=1
LCD display,display temps ect.,11.99,https://www.amazon.com/Hosyond-Display-Module-Arduino-Raspberry/dp/B0BWTFN9WF/ref=sr_1_3?crid=1YYKN7HU4P28R&dib=eyJ2IjoiMSJ9.25d0pPuL0Wi9nMKD3P8wiSw9UPJjIf9RrbbUgCSM3tliIOj71hnUzxzE3xooARn3ro2cxiDjGXijECyoWvoFLrsdUd7VCJ8dbsVzbISWtEiqloEOz7Ds8sEb3DX6iFgVnuKVGveKf4EnfQ-GIBvulAOyKvQ8P4lptPTSsroKBoLnL_1XjETX4OpOy7igxs71cB_RX_Vq4uCWhbL9dgNvgF7iVmeE-zwnt9FVfCIGUuc.kWo2h9z8qnnYcTzX7RPqMOnN28LLrmp19-O1_Shgss8&dib_tag=se&keywords=lcd%2Barduino&qid=1729457808&sprefix=lcd%2B%2Caps%2C93&sr=8-3&th=1
MAX 6675 thermocouple #2,ET probe,7.69,https://www.amazon.com/gp/product/B01HT871SO/ref=ewc_pr_img_1?smid=A30QSGOJR8LMXA&psc=1
Cyclone dust collector,chaff seperator,25.99,https://www.amazon.com/gp/product/B0CJBDHCQY/ref=ewc_pr_img_3?smid=A1J9VXUDDDTNDV&psc=1
2x1 adapter,step down exhaust,14.99,https://www.amazon.com/gp/product/B071YYP1QL/ref=ewc_pr_img_2?smid=A9R8MBSY7L1UV&psc=1
4x2 adapter,step down exhaust,14.59,https://www.amazon.com/gp/product/B0B7448NF3/ref=ewc_pr_img_3?smid=AIX60DP73AM0L&psc=1
aluminum tape,taping gaps,6.99,https://www.amazon.com/Aluminum-Ductwork-Temperature-Insulation-Adhesive/dp/B0B6NDFXPN/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.kv1_lQmqIWnEGC95v057v_r44eOvCZrG_-UeOTLPnnzTpnnBY8zPLhzf8e083C6949sv_tobyTBVZFULDPHSDS2ZstiKeqJyOROOnQIvaJPexfhx_by-yycqJfnEw4EKDZml7KhtFeu9UGVUOwyKEoPBZSMgBpIklIq-vkuqTDKUgP_9Aew2c-wxejRTuWM6gO1XgFVJ0n9dnREiMK-QmqT8wQCHMiXgVeDPOvuGwLI.O_9K7zg6tnRQbv3ZqOCYKNLlguEoQv_q56jma2LqAxE&dib_tag=se&keywords=aluminum+tape&qid=1729458177&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,,,
,,,
TOTAL w/extras,,378.52,